Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	True	True	True	False	True	True	True
3	False	True	False	False	True	True	False	False
5	True	False	False	False	False	False	True	False
9	True	True	True	True	False	True	True	True
12	True	True	True	True	True	True	True	True
13	True	True	False	True	True	True	True	True
14	True	True	False	True	True	True	False	False
16	False	False	False	False	True	False	True	False
20	True	True	True	True	True	True	False	True
