Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	False	True	True
2	True	True	True	True	True	False	True	True
3	False	False	True	False	False	True	False	False
5	False	True	True	True	True	False	False	False
9	True	True	True	False	True	True	False	True
12	True	True	True	True	True	True	True	True
13	True	True	True	True	False	False	True	True
14	False	True	False	False	True	True	True	False
16	False	False	False	False	False	False	False	False
20	True	True	True	True	True	True	True	True
