Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	False	True	True	True	True	True	True	True
3	True	True	True	False	True	True	False	True
5	False	False	False	False	False	False	False	False
9	True	False	True	True	True	True	True	True
12	True	True	True	True	False	True	True	False
13	True	False	False	True	True	True	False	False
14	False	False	True	True	True	True	False	True
16	False	False	False	False	False	True	False	False
20	True	True	True	True	True	True	False	False
