Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	True	False	True	True	True	True	True
3	True	True	True	True	True	False	True	True
5	True	False	True	True	False	False	True	True
9	True	True	True	True	False	True	False	True
12	False	True	True	True	True	True	True	True
13	True	True	True	False	True	True	False	True
14	False	False	False	True	True	False	True	True
16	True	True	False	True	True	True	True	False
20	False	True	True	False	True	True	True	True
