Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	False	True	True	True	True	True	True	False
3	False	True	True	False	False	False	True	False
5	False	True	True	False	False	True	True	True
9	True	True	True	True	True	True	False	True
12	True	True	True	True	False	True	True	True
13	False	True	True	True	True	True	True	True
14	False	False	False	True	True	False	True	True
16	True	True	True	False	False	False	False	True
20	True	True	True	True	True	True	True	True
