Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	True	False	True	True	True	True	True
3	False	False	True	False	True	False	True	False
5	True	False	False	True	False	False	True	False
9	True	False	True	True	False	True	True	True
12	True	True	True	True	False	True	True	False
13	False	False	True	True	True	True	True	True
14	False	True	False	True	True	True	True	True
16	True	True	True	True	True	True	True	False
20	True	True	False	False	False	True	True	False
