Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	False	True	True	True	True	False	True
3	False	False	True	True	True	False	False	False
5	True	False	False	False	False	True	True	True
9	True	True	True	True	True	False	False	True
12	False	True	True	True	True	True	True	True
13	False	True	True	True	False	True	True	True
14	True	False	False	True	True	False	True	True
16	False	False	False	True	False	False	True	True
20	True	True	True	True	False	True	True	True
