Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	True	True	True	True	False	True	True
3	False	True	False	False	True	False	False	True
5	False	False	False	True	True	False	True	False
9	True	False	True	True	True	False	True	True
12	True	True	True	True	True	True	False	True
13	True	True	True	True	True	True	True	True
14	False	False	False	False	True	False	True	True
16	True	False	False	False	False	True	False	False
20	True	False	True	False	True	True	True	False
