Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	False	True	True	True	True	True	True	False
3	False	True	True	True	True	True	True	True
5	False	False	False	True	False	True	False	False
9	True	True	True	False	True	True	True	True
12	True	True	True	True	True	True	True	True
13	True	True	True	False	True	True	False	False
14	False	True	False	True	False	False	True	True
16	False	False	False	True	False	True	False	True
20	True	True	False	True	True	True	True	True
