Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	False	True	True	False	True	True	True	False
3	False	True	False	True	False	True	False	True
5	False	True	False	False	False	False	False	False
9	False	True	True	True	True	True	False	True
12	True	False	True	True	True	True	True	True
13	False	False	True	False	True	True	True	True
14	True	False	True	True	False	False	True	False
16	False	False	False	True	False	True	False	False
20	False	False	True	True	True	True	True	False
