Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	False	True	True	False	True	True	False	False
3	False	True	True	False	True	True	False	True
5	False	True	False	False	True	False	True	True
9	True	True	True	True	True	True	True	False
12	True	True	True	True	True	True	False	True
13	True	True	True	True	False	True	True	True
14	False	True	True	False	False	False	False	False
16	True	False	False	False	True	False	False	False
20	False	True	True	True	True	True	False	True
