Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	True	False	True	True	True	True	True
3	False	False	False	True	False	True	False	True
5	True	True	False	True	False	True	False	True
9	False	True	False	True	True	True	True	True
12	True	True	True	True	True	True	True	True
13	False	True	True	True	False	True	True	True
14	True	True	True	False	False	False	False	False
16	False	True	True	False	False	False	False	False
20	False	True	True	True	True	True	True	True
