Branch	Parent_1	Copy_2	Copy_3	Copy_4	Copy_5	Copy_6	Copy_7	Copy_8
1	True	True	True	True	True	True	True	True
2	True	False	True	False	True	True	True	True
3	True	False	False	False	True	False	False	False
5	False	False	True	True	True	False	True	False
9	True	False	True	False	False	True	False	True
12	True	True	True	True	True	True	True	True
13	True	False	False	True	False	False	True	True
14	False	True	False	True	False	False	False	True
16	False	True	False	True	False	True	True	False
20	True	False	False	True	True	True	False	True
